"O3.Mean","Date.Local"
0.0218808571428571,2013-05-05
0.0301248571428571,2013-05-12
0.0190692857142857,2013-05-19
0.030994,2013-05-26
0.0297621428571429,2013-06-02
0.031875,2013-06-09
0.0349644285714286,2013-06-16
0.0354525714285714,2013-06-23
0.0227201428571429,2013-06-30
0.0349911428571429,2013-07-07
0.038496,2013-07-14
0.0345774285714286,2013-07-21
0.036649,2013-07-28
0.0338392857142857,2013-08-04
0.0334225714285714,2013-08-11
0.0307141428571429,2013-08-18
0.0345892857142857,2013-08-25
0.0295715714285714,2013-09-01
0.0268972857142857,2013-09-08
0.0278034285714286,2013-09-15
0.0190475714285714,2013-09-22
0.027082,2013-09-29
0.0284287142857143,2013-10-06
0.0229711428571429,2013-10-13
0.0217858571428571,2013-10-20
0.0186944285714286,2013-10-27
0.0203788571428571,2013-11-03
0.01701,2013-11-10
0.019994,2013-11-17
0.0204344285714286,2013-11-24
0.00821428571428571,2013-12-01
0.0165914285714286,2013-12-08
0.0108394285714286,2013-12-15
0.0143808571428571,2013-12-22
0.015859,2013-12-29
0.0116984285714286,2014-01-05
0.00998214285714286,2014-01-12
0.0194681428571429,2014-01-19
0.013266,2014-01-26
0.0138828571428571,2014-02-02
0.0212381428571429,2014-02-09
0.0165854285714286,2014-02-16
0.0231944285714286,2014-02-23
0.0210377142857143,2014-03-02
0.0259405714285714,2014-03-09
0.0255786666666667,2014-03-16
0.0255577142857143,2014-03-23
0.022932,2014-03-30
0.0298788571428571,2014-04-06
0.0316994285714286,2014-04-13
0.0315,2014-04-20
0.0281251428571429,2014-04-27
0.0296012857142857,2014-05-04
0.0262392857142857,2014-05-11
0.0351072857142857,2014-05-18
0.0313531428571429,2014-05-25
0.0305872857142857,2014-06-01
0.0248045714285714,2014-06-08
0.0320415714285714,2014-06-15
0.0336667142857143,2014-06-22
0.0298691428571429,2014-06-29
0.0417975714285714,2014-07-06
0.0327331428571429,2014-07-13
0.0367917142857143,2014-07-20
0.0338281428571429,2014-07-27
0.0258238333333333,2014-08-03
0.0290998571428571,2014-08-10
0.0274175714285714,2014-08-17
0.025761,2014-08-24
0.0329602857142857,2014-08-31
0.0259702857142857,2014-09-07
0.0243391428571429,2014-09-14
0.0196727142857143,2014-09-21
0.0190361428571429,2014-09-28
0.0246824285714286,2014-10-05
0.0222321428571429,2014-10-12
0.0200535714285714,2014-10-19
0.016607,2014-10-26
0.0170418571428571,2014-11-02
0.0139147142857143,2014-11-09
0.0170772857142857,2014-11-16
0.0169841428571429,2014-11-23
0.0133631428571429,2014-11-30
0.0207661428571429,2014-12-07
0.00944042857142857,2014-12-14
0.0108392857142857,2014-12-21
0.0161077142857143,2014-12-28
0.0172804285714286,2015-01-04
0.0131787142857143,2015-01-11
0.0109465714285714,2015-01-18
0.0217797142857143,2015-01-25
0.0139405714285714,2015-02-01
0.0189704285714286,2015-02-08
0.0196487142857143,2015-02-15
0.0183214285714286,2015-02-22
0.0169168571428571,2015-03-01
0.0224285714285714,2015-03-08
0.0247558571428571,2015-03-15
0.0202481428571429,2015-03-22
0.0255478571428571,2015-03-29
0.0257897142857143,2015-04-05
0.0259154285714286,2015-04-12
0.0295774285714286,2015-04-19
0.0306605714285714,2015-04-26
0.029107,2015-05-03
0.026268,2015-05-10
0.0309227142857143,2015-05-17
0.0296785714285714,2015-05-24
0.0197574285714286,2015-05-31
0.0400238571428571,2015-06-07
0.0304998571428571,2015-06-14
0.0339702857142857,2015-06-21
0.0334285714285714,2015-06-28
0.0318035714285714,2015-07-05
0.0338332857142857,2015-07-12
0.0365952857142857,2015-07-19
0.0349761428571429,2015-07-26
0.0331905714285714,2015-08-02
0.0303148571428571,2015-08-09
0.0326427142857143,2015-08-16
0.0330715714285714,2015-08-23
0.0352262857142857,2015-08-30
0.0259998571428571,2015-09-06
0.0320772857142857,2015-09-13
0.0252322857142857,2015-09-20
0.0181905714285714,2015-09-27
0.0177795714285714,2015-10-04
0.020758,2015-10-11
0.0203155714285714,2015-10-18
0.0181784285714286,2015-10-25
0.0118172857142857,2015-11-01
0.018508,2015-11-08
0.021889,2015-11-15
0.0180276666666667,2015-11-22
0.0109755,2015-11-29
0.00653571428571429,2015-12-06
0.0149684285714286,2015-12-13
0.0114642857142857,2015-12-20
0.0158355714285714,2015-12-27
0.0132262857142857,2016-01-03
0.018012,2016-01-10
0.0241188571428571,2016-01-17
0.012137,2016-01-24
0.0165595714285714,2016-01-31
0.0215794285714286,2016-02-07
0.0208035714285714,2016-02-14
0.0232857142857143,2016-02-21
0.0251844285714286,2016-02-28
0.0195,2016-03-06
0.0250317142857143,2016-03-13
0.0311905714285714,2016-03-20
0.0311667142857143,2016-03-27
0.03064575,2016-04-03
0.0308928571428571,2016-04-10
0.0349942857142857,2016-04-17
0.0340501428571429,2016-04-24
